# xllcorner: -4903701.77
# yllcorner: 5517127.87
# cellsize: 926.625433055834
# nrows: 1
# ncols: 1
# band: LST_Day_1km
# units: Kelvin
# scale: 0.02
# latitude: 49.62
# longitude: -68.06
# site: 18_20
# product: MOD11A2
# start: 2002-01-01
# end: 2002-12-31
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2002001,2002-01-01,LST_Day_1km,h13v04,2015134191048,1,12756
A2002009,2002-01-09,LST_Day_1km,h13v04,2015135184836,1,12955
A2002017,2002-01-17,LST_Day_1km,h13v04,2015136031203,1,12821
A2002025,2002-01-25,LST_Day_1km,h13v04,2015138144047,1,12556
A2002033,2002-02-02,LST_Day_1km,h13v04,2015139174000,1,12586
A2002041,2002-02-10,LST_Day_1km,h13v04,2015140014656,1,12671
A2002049,2002-02-18,LST_Day_1km,h13v04,2015140082410,1,12883
A2002057,2002-02-26,LST_Day_1km,h13v04,2015140142900,1,12794
A2002065,2002-03-06,LST_Day_1km,h13v04,2015140222631,1,12813
A2002073,2002-03-14,LST_Day_1km,h13v04,2015141040415,1,13176
A2002081,2002-03-22,LST_Day_1km,h13v04,2015141061527,1,0
A2002089,2002-03-30,LST_Day_1km,h13v04,2015141135300,1,13553
A2002097,2002-04-07,LST_Day_1km,h13v04,2015141211743,1,13739
A2002105,2002-04-15,LST_Day_1km,h13v04,2015142041752,1,13532
A2002113,2002-04-23,LST_Day_1km,h13v04,2015142104540,1,13879
A2002121,2002-05-01,LST_Day_1km,h13v04,2015142172818,1,13962
A2002129,2002-05-09,LST_Day_1km,h13v04,2015143023125,1,13973
A2002137,2002-05-17,LST_Day_1km,h13v04,2015143101452,1,0
A2002145,2002-05-25,LST_Day_1km,h13v04,2015143172448,1,14408
A2002153,2002-06-02,LST_Day_1km,h13v04,2015144000730,1,14390
A2002161,2002-06-10,LST_Day_1km,h13v04,2015144062241,1,14530
A2002169,2002-06-18,LST_Day_1km,h13v04,2015144123647,1,14825
A2002177,2002-06-26,LST_Day_1km,h13v04,2015144183716,1,14889
A2002185,2002-07-04,LST_Day_1km,h13v04,2015145002814,1,0
A2002193,2002-07-12,LST_Day_1km,h13v04,2015145055805,1,14123
A2002201,2002-07-20,LST_Day_1km,h13v04,2015145105547,1,14657
A2002209,2002-07-28,LST_Day_1km,h13v04,2015145152019,1,14643
A2002217,2002-08-05,LST_Day_1km,h13v04,2015149012232,1,14724
A2002225,2002-08-13,LST_Day_1km,h13v04,2015149093623,1,14779
A2002233,2002-08-21,LST_Day_1km,h13v04,2015149171326,1,14483
A2002241,2002-08-29,LST_Day_1km,h13v04,2015150015411,1,14598
A2002249,2002-09-06,LST_Day_1km,h13v04,2015150093724,1,14310
A2002257,2002-09-14,LST_Day_1km,h13v04,2015150171012,1,14313
A2002265,2002-09-22,LST_Day_1km,h13v04,2015151002453,1,14334
A2002273,2002-09-30,LST_Day_1km,h13v04,2015160223506,1,14146
A2002281,2002-10-08,LST_Day_1km,h13v04,2015161093936,1,13944
A2002289,2002-10-16,LST_Day_1km,h13v04,2015161214144,1,13783
A2002297,2002-10-24,LST_Day_1km,h13v04,2015162091148,1,13506
A2002305,2002-11-01,LST_Day_1km,h13v04,2015162195911,1,13360
A2002313,2002-11-09,LST_Day_1km,h13v04,2015163024235,1,13400
A2002321,2002-11-17,LST_Day_1km,h13v04,2015163080136,1,13159
A2002329,2002-11-25,LST_Day_1km,h13v04,2015164041244,1,13118
A2002337,2002-12-03,LST_Day_1km,h13v04,2015166154910,1,12814
A2002345,2002-12-11,LST_Day_1km,h13v04,2015166182427,1,12973
A2002353,2002-12-19,LST_Day_1km,h13v04,2015166235634,1,13146
A2002361,2002-12-27,LST_Day_1km,h13v04,2015180213526,1,12941
